Contact,AccountId,Salutation,FirstName,LastName,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,tth_Base_Loyalty_Points__c,tth_Loyalty_Program_Number__c,tth_Loyalty_Status__c,tth_Next_Loyalty_Level_Threshold__c,tth_Business_Traveler__c,tth_Medical_Alerts__c,tth_Personal_Traveler__c,tth_preference_air_Pref_Dep_Airport__c,tth_preference_air_Seat__c,tth_preference_air_Seat_Section__c,tth_preference_air_Special_Meals__c,tth_preference_hotel_Accessibility_Needs__c,tth_preference_hotel_Hotel_Amenities__c,tth_preference_hotel_Room_Type__c,tth_preference_hotel_Smoking_Preference__c,tth_preference_rental_Car_Transmission__c,tth_preference_rental_Car_Type__c,tth_preference_rental_Smoking_Preference__c,tth_Traveler_Value_Score__c,tth_VIP_Traveler__c,Cust360_ChurnRisk__c,Cust360_Contact_Picture_URL__c,Cust360_CSAT__c,Cust360_Id__c,Cust360_Metric1__c,Cust360_Metric2__c,tth_Trip_Stage__c,tth_Trip_Sub_Stage__c,tth_Experiencing_Trip_Disruption__c
Contact.049,Account.008,Mr.,Thomas,Green,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(639) 555-0100,(639) 555-0199,(639) 555-0188,639-840-9818,(639) 555-0191,(639) 555-0150,tgreen@example.com,CFO,C-Level,Nathen Woolum,Social Media,213569,274 237 5752,Silver,15000,No,,Yes,MEM,Middle,Forward,Regular Meal,,,Disability,Don't Care,Don't Care,Standard SUV,Don't Care,574,Yes,85,,0,509840850-648,Silver,574,PreTrip,Has Future Booking,0
Contact.050,Account.009,Mr.,Martin,Green,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(280) 555-0100,(280) 555-0199,(280) 555-0188,280-615-1908,(280) 555-0191,(280) 555-0150,mgreen@example.com,Senior Vice President-Operations,Operations,Beverly Staten,Cold Call,110998,289 363 8241,Gold,15000,No,,No,PDX,Aisle,Rear,Diabetic Meal,,,Twin,Non-Smoking,Manual,Intermediate SUV,Non-Smoking,839,Yes,61,,3,325296100-511,Gold,839,PreTrip,Has Future Booking,0
Contact.051,Account.008,Ms,Danielle,Hauck,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(219) 555-0100,(219) 555-0199,(219) 555-0188,219-777-9950,(219) 555-0191,(219) 555-0150,dhauck@example.com,Sales Manager,Sales,Dena Hamon,Event,111947,709 416 8468,Silver,15000,Yes,,No,BNA,Aisle,Rear,Low Calorie Meal,,,King,Don't Care,Manual,Compact Car,Don't Care,474,No,93,,2,517182212-584,Silver,474,OnTrip,Experiencing Disruption,1
Contact.052,Account.008,Mr.,George,Mazzotta,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(520) 555-0100,(520) 555-0199,(520) 555-0188,520-310-5725,(520) 555-0191,(520) 555-0150,gmazzotta@example.com,Chief Financial Officer,C-Level,Pete Upson,Purchased List,93693,453 174 8718,Gold,15000,Yes,,Yes,MEM,Aisle,Bulkhead,Kosher Meal,,,Queen,Non-Smoking,Manual,Standard SUV,Non-Smoking,453,No,12,,5,687268764-383,Gold,453,PreTrip,Has Future Booking,0
Contact.053,Account.008,Ms,Patricia,Feager,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(423) 555-0100,(423) 555-0199,(423) 555-0188,423-806-1447,(423) 555-0191,(423) 555-0150,pfeager@example.com,CEO,C-Level,Aron Steeves,Referral,21456,283 331 3867,Gold,15000,No,,No,BNA,Window,Forward,Low Calorie Meal,,,Disability,Smoking,Manual,Standard SUV,Smoking,526,No,95,,2,432522628-447,Gold,526,PostTrip,Negative Sentiment,0
Contact.054,Account.008,Mr.,Arthur,Song,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(772) 555-0100,(772) 555-0199,(772) 555-0188,772-504-0721,(772) 555-0191,(772) 555-0150,asong@example.com,CEO,C-Level,Therese Yong,Social Media,0,,Non-Member,15000,No,,Yes,MEM,Window,Bulkhead,Fruit Platter,,,King,Don't Care,Automatic,Compact Car,Don't Care,258,No,72,,0,778165091-376,Non-Member,258,PreTrip,Has Future Booking,0
Contact.055,Account.035,Mr.,Brad,Owens,1419 Gunderson Ave,Cook,IL,60402,US,1419 Gunderson Ave,Cook,IL,60402,US,(500) 555-0100,(500) 555-0199,(500) 555-0188,500-233-3822,(500) 555-0191,(500) 555-0150,bowens@example.com,Regional Sales Manager,Sales,Damaris Montague,Purchased List,179247,648 730 1409,Bronze,15000,No,,No,ORD,Window,Rear,Regular Meal,,,King,Smoking,Manual,Economy Car,Smoking,354,No,9,,4,696474239-370,Bronze,354,OnTrip,Smooth Travels,0
Contact.056,Account.023,Mr.,Portal,Preview User,3544 Wedo St,Clark,NV,89031,US,3544 Wedo St,Clark,NV,89031,US,(656) 555-0100,(656) 555-0199,(656) 555-0188,656-541-6935,(656) 555-0191,(656) 555-0150,contact+portalpreviewuser@sdo.mygbiz.com,Marketing Manager,Business Development,Stacey Slayden,Referral,331623,737 863 8326,Silver,15000,Yes,,Yes,LAS,Aisle,Forward,Kosher Meal,,,Queen,Don't Care,Manual,Any Car Class,Don't Care,462,No,74,,1,172873547-747,Silver,462,OnTrip,Smooth Travels,0
Contact.057,Account.005,Ms.,Sienna,Competente,1419 Commerce Rd,Richmond (city),VA,23224,US,1419 Commerce Rd,Richmond (city),VA,23224,US,(672) 555-0100,(672) 555-0199,(672) 555-0188,672-989-3984,(672) 555-0191,(672) 555-0150,scompetente@example.com,"VP ,Consulting",Consulting,Darin Hammonds,Social Media,341278,765 183 8553,Silver,15000,No,,No,DCA,Middle,Forward,Low Calorie Meal,,,Queen,Don't Care,Automatic,Full-size Car,Don't Care,498,No,73,,0,567750301-753,Silver,498,PostTrip,Negative Sentiment,0
Contact.058,Account.028,Mr.,Richard H,Lloyd,3452 Voltaire St,San Diego,CA,92106,US,3452 Voltaire St,San Diego,CA,92106,US,(632) 555-0100,(632) 555-0199,(632) 555-0188,632-877-7665,(632) 555-0191,(632) 555-0150,rlloyd@example.com,Manager Sales Exec Finance Exec,Sales,Anthony Schwenk,Event,0,,Non-Member,15000,No,,Yes,SAN,Aisle,Exit Row,Kosher Meal,,,King,Don't Care,Automatic,Standard Car,Don't Care,220,No,74,,0,581114283-343,Non-Member,220,PreTrip,No Future Booking,0
Contact.059,Account.024,Mr.,David,Harris,309 8th Ave,Santa Cruz,CA,95062,US,309 8th Ave,Santa Cruz,CA,95062,US,(692) 555-0100,(692) 555-0199,(692) 555-0188,692-854-2073,(692) 555-0191,(692) 555-0150,dharris@example.com,Director of Business Development,Business Development,Daron Svendsen,Purchased List,356999,459 666 4611,Silver,15000,No,,No,SFO,Aisle,Bulkhead,Diabetic Meal,,,King,Don't Care,Automatic,Standard SUV,Don't Care,565,Yes,90,,0,348247943-883,Silver,565,PreTrip,No Future Booking,0
Contact.060,Account.027,Mr.,Ron,Adkins,899 N Broadview Ave,Sedgwick,KS,67208,US,899 N Broadview Ave,Sedgwick,KS,67208,US,(258) 555-0100,(258) 555-0199,(258) 555-0188,258-277-2428,(258) 555-0191,(258) 555-0150,radkins@example.com,General Manager,C-Level,Jeannette Theriault,Referral,287806,971 421 8976,Gold,15000,No,,No,ICT,Aisle,Exit Row,Diabetic Meal,,,King,Smoking,Manual,Intermediate Car,Smoking,689,Yes,70,,0,281044186-214,Gold,689,OnTrip,Smooth Travels,0
Contact.061,Account.025,Ms.,Sandy,Knudson,17753 Gothard St,Orange,CA,92647,US,17753 Gothard St,Orange,CA,92647,US,(624) 555-0100,(624) 555-0199,(624) 555-0188,624-865-7797,(624) 555-0191,(624) 555-0150,sknudson@example.com,Account Executive,Sales,Sunny Leavitt,Social Media,340944,924 930 5617,Gold,15000,No,,Yes,LAX,Aisle,Forward,Low Calorie Meal,,,Single,Smoking,Manual,Economy Car,Smoking,626,Yes,85,,2,722546883-241,Gold,626,OnTrip,Experiencing Disruption,1
Contact.062,Account.029,Mr.,Larry,Kuchenreuther,1963 Border Ave,Los Angeles,CA,90501,US,1963 Border Ave,Los Angeles,CA,90501,US,(446) 555-0100,(446) 555-0199,(446) 555-0188,446-310-9854,(446) 555-0191,(446) 555-0150,lkuchenreuther@example.com,Account Manager,Sales,Nadine Zubia,Event,355454,451 957 2059,Gold,15000,Yes,,Yes,LAX,Middle,Rear,Diabetic Meal,,,Twin,Don't Care,Manual,Economy Car,Don't Care,520,No,73,,0,401812181-408,Gold,520,PostTrip,Negative Sentiment,0
Contact.063,Account.031,Dr.,Susan,Johanson,2485 Pershing Dr,San Diego,CA,92101,US,2485 Pershing Dr,San Diego,CA,92101,US,(390) 555-0100,(390) 555-0199,(390) 555-0188,390-677-7847,(390) 555-0191,(390) 555-0150,sjohanson@example.com,VP of Operations,Operations,Cory Apple,Cold Call,0,,Non-Member,15000,Yes,,No,SAN,Aisle,Bulkhead,Gluten Free Meal,,,Disability,Smoking,Don't Care,Intermediate Car,Smoking,283,No,16,,5,159245826-893,Non-Member,283,PreTrip,No Future Booking,0
Contact.064,Account.031,Mr.,Mark,Dillon,2485 Pershing Dr,San Diego,CA,92101,US,2485 Pershing Dr,San Diego,CA,92101,US,(765) 555-0100,(765) 555-0199,(765) 555-0188,765-837-0389,(765) 555-0191,(765) 555-0150,mdillon@example.com,Head of Partner Relations,Sales,Denis Muirhead,Event,0,,Non-Member,15000,No,,Yes,SAN,Aisle,Rear,Low Calorie Meal,,,Queen,Non-Smoking,Don't Care,Any Car Class,Non-Smoking,253,No,9,,4,261812802-657,Non-Member,253,PreTrip,No Future Booking,0
Contact.065,Account.031,Ms.,Stella,Pavlova,2485 Pershing Dr,San Diego,CA,92101,US,2485 Pershing Dr,San Diego,CA,92101,US,(842) 555-0100,(842) 555-0199,(842) 555-0188,842-216-6743,(842) 555-0191,(842) 555-0150,spavlova@example.com,"VP, Product Management",Operations,Alysia Silvernail,Purchased List,0,,Non-Member,15000,Yes,,Yes,SAN,Window,Forward,Regular Meal,,,Queen,Don't Care,Manual,Economy Car,Don't Care,628,Yes,8,,4,544940832-630,Non-Member,628,PreTrip,No Future Booking,0
Contact.066,Account.007,Mr,Thomas,Simes,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(519) 555-0100,(519) 555-0199,(519) 555-0188,519-711-0515,(519) 555-0191,(519) 555-0150,tsimes@example.com,CEO,C-Level,Jody Liles,Referral,238673,588 821 5791,Gold,15000,No,,No,LAS,Aisle,Exit Row,Regular Meal,,,Disability,Don't Care,Don't Care,Intermediate Car,Don't Care,809,Yes,15,,5,596148537-520,Gold,809,PostTrip,Negative Sentiment,0
Contact.067,Account.007,Mr,Michael,Basch,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(753) 555-0100,(753) 555-0199,(753) 555-0188,753-261-6567,(753) 555-0191,(753) 555-0150,mbasch@example.com,"VP, Procurement",Operations,Levar Barksdale,Social Media,63975,503 299 9804,Bronze,15000,Yes,,No,LAS,Aisle,Rear,Diabetic Meal,,,Single,Smoking,Manual,Intermediate SUV,Smoking,509,No,31,,3,844972385-892,Bronze,509,PostTrip,Negative Sentiment,0
Contact.068,Account.007,Dr.,Jeannie,Rogers,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(875) 555-0100,(875) 555-0199,(875) 555-0188,875-349-0430,(875) 555-0191,(875) 555-0150,jrogers@example.com,"VP, Facilities",Operations,Christine Zollinger,Social Media,0,,Non-Member,15000,Yes,,Yes,LAS,Window,Forward,Kosher Meal,,,Disability,Non-Smoking,Automatic,Standard SUV,Non-Smoking,291,No,18,,4,432073947-247,Non-Member,291,PostTrip,Negative Sentiment,0
Contact.069,Account.007,Mr,Tom,James,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(932) 555-0100,(932) 555-0199,(932) 555-0188,932-840-6320,(932) 555-0191,(932) 555-0150,tjames@example.com,"SVP, Operations",Operations,Valentin Considine,Social Media,59027,821 700 5803,Gold,15000,Yes,,Yes,LAS,Middle,Bulkhead,Gluten Free Meal,,,Queen,Smoking,Manual,Standard SUV,Smoking,450,No,79,,0,213650445-687,Gold,450,OnTrip,Smooth Travels,0
Contact.070,Account.007,Mr.,Alex,Johnson,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(526) 555-0100,(526) 555-0199,(526) 555-0188,526-454-5553,(526) 555-0191,(526) 555-0150,ajohnson@example.com,"Senior Director, Services",Consulting,Rosalinda Fairfax,Cold Call,0,,Non-Member,15000,Yes,,No,LAS,Aisle,Rear,Fruit Platter,,,Single,Don't Care,Manual,Economy Car,Don't Care,424,No,17,,5,594597079-179,Non-Member,424,PreTrip,No Future Booking,0
Contact.071,Account.007,Ms.,Rose,Gonzalez,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(776) 555-0100,(776) 555-0199,(776) 555-0188,776-672-9389,(776) 555-0191,(776) 555-0150,rgonzalez@example.com,SVP of Marketing,Marketing,Lina Brink,Event,0,,Non-Member,15000,No,,Yes,LAS,Window,Forward,Diabetic Meal,,,Disability,Smoking,Manual,Full-size Car,Smoking,367,No,93,,0,698279222-112,Non-Member,367,PreTrip,No Future Booking,0
Contact.072,Account.024,Mr.,Tom,Davis,309 8th Ave,Santa Cruz,CA,95062,US,309 8th Ave,Santa Cruz,CA,95062,US,(643) 555-0100,(643) 555-0199,(643) 555-0188,643-788-2366,(643) 555-0191,(643) 555-0150,tdavis@example.com,Development Director,Business Development,Jon Lauver,Purchased List,107667,148 151 5818,Gold,15000,No,,Yes,SFO,Aisle,Rear,Fruit Platter,,,King,Non-Smoking,Don't Care,Full-size Car,Non-Smoking,730,Yes,62,,3,951636175-399,Gold,730,OnTrip,Smooth Travels,0
Contact.073,Account.033,Ms.,Hollie,Everhart,,,,,,2832 Grotton Road,Hakalau,HI,96710,US,(579) 555-0100,(579) 555-0199,(579) 555-0188,,(579) 555-0191,(579) 555-0150,heverhart@example.com,VP of Marketing,,,Event,0,,Non-Member,15000,No,,No,ITO,Aisle,Forward,Regular Meal,,,Disability,Don't Care,Automatic,Intermediate Car,Don't Care,510,No,92,,1,807945943-415,Non-Member,510,PostTrip,Negative Sentiment,0
Contact.074,Account.033,Ms.,Bree,Reitz,,,,,,2852 Bagley Circle,San Francisco,CA,94167,US,(453) 555-0100,(453) 555-0199,(453) 555-0188,,(453) 555-0191,(453) 555-0150,breitz@example.com,Head of Partner Relations,,,Website,329848,718 479 2765,Gold,15000,No,,Yes,SFO,Window,Exit Row,Gluten Free Meal,,,Disability,Smoking,Don't Care,Full-size Car,Smoking,748,Yes,27,,4,331242180-698,Gold,748,PostTrip,Negative Sentiment,0
Contact.075,Account.033,Mr.,Hamid,Basirat,,,,,,1958 Stamford,Monroe,IA,50170,US,(875) 555-0100,(875) 555-0199,(875) 555-0188,,(875) 555-0191,(875) 555-0150,hbasirat@example.com,SVP Marketing,,,Social Media,242867,628 644 9180,Bronze,15000,No,,Yes,DSM,Aisle,Forward,Fruit Platter,,,Queen,Don't Care,Automatic,Intermediate SUV,Don't Care,434,No,52,,3,243550360-362,Bronze,434,OnTrip,Smooth Travels,0
Contact.076,Account.033,Mr.,Shay,Dulaney,,,,,,1225 Fourth,Pensacola,FL,32516,US,(686) 555-0100,(686) 555-0199,(686) 555-0188,,(686) 555-0191,(686) 555-0150,sdulaney@example.com,Sales Executive,,,Social Media,321230,758 562 2275,Gold,15000,No,,Yes,PNS,Aisle,Exit Row,Gluten Free Meal,,,Disability,Non-Smoking,Don't Care,Full-size Car,Non-Smoking,785,Yes,34,,4,168140064-312,Gold,785,OnTrip,Experiencing Disruption,1
Contact.077,Account.033,Mr.,David,Homme,,,,,,2215 Oak Drive,Eugene,OR,97404,US,(759) 555-0100,(759) 555-0199,(759) 555-0188,,(759) 555-0191,(759) 555-0150,dhomme@example.com,Product Marketing Manager,,,Social Media,154630,495 968 8685,Bronze,15000,Yes,,No,PDX,Aisle,Exit Row,Gluten Free Meal,,,Single,Don't Care,Manual,Standard SUV,Don't Care,423,No,76,,0,308034261-602,Bronze,423,PreTrip,No Future Booking,0
Contact.078,Account.010,Ms.,Joyce,Turner,,,,,,6069 NE 49th Ave,Littleton,CO,80211,US,(794) 555-0100,(794) 555-0199,(794) 555-0188,,(794) 555-0191,(794) 555-0150,jturner@example.com,"Manager, Channel Sales",,,,90832,205 981 6318,Gold,15000,No,,No,DEN,Window,Exit Row,Gluten Free Meal,,,Queen,Don't Care,Don't Care,Full-size Car,Don't Care,582,Yes,86,,1,565654468-671,Gold,582,PreTrip,No Future Booking,0
Contact.079,Account.033,Ms.,Marci,Viviano,,,,,,1767 Oak Place,Tacoma,WA,98408,US,(270) 555-0100,(270) 555-0199,(270) 555-0188,,(270) 555-0191,(270) 555-0150,mviviano@example.com,CFO,,,Website,112953,130 671 2684,Silver,15000,No,,No,SEA,Window,Bulkhead,Regular Meal,,,Twin,Smoking,Don't Care,Standard SUV,Smoking,550,No,78,,2,945152748-942,Silver,550,PreTrip,No Future Booking,0
Contact.080,Account.033,Mr.,Lloyd,Archibald,,,,,,1591 Hulet,Topeka,IN,46571,US,(801) 555-0100,(801) 555-0199,(801) 555-0188,,(801) 555-0191,(801) 555-0150,larchibald@example.com,"SVP, Marketing",,,Social Media,137907,167 626 9975,Bronze,15000,Yes,,Yes,IND,Aisle,Rear,Diabetic Meal,,,King,Smoking,Don't Care,Standard Car,Smoking,379,No,55,,3,177627670-232,Bronze,379,OnTrip,Experiencing Disruption,1
Contact.081,Account.010,Mr.,Adam,Mercer,,,,,,6069 NE 49th Ave,Littleton,CO,80211,US,(794) 555-0100,(794) 555-0199,(794) 555-0188,,(794) 555-0191,(794) 555-0150,amercer@example.com,Sales Engineer,,,,223094,890 416 1454,Gold,15000,Yes,,No,DEN,Window,Rear,Fruit Platter,,,Single,Smoking,Manual,Standard Car,Smoking,559,Yes,75,,1,974541524-867,Gold,559,PostTrip,Negative Sentiment,0
Contact.082,Account.033,Ms.,Cristin,Hwang,,,,,,2009 Dawson,Rushmore,MN,56168,US,(806) 555-0100,(806) 555-0199,(806) 555-0188,,(806) 555-0191,(806) 555-0150,chwang@example.com,"EVP, Business Development",,,Social Media,101534,911 815 3675,Silver,15000,Yes,,Yes,MSP,Aisle,Bulkhead,Regular Meal,,,Disability,Don't Care,Don't Care,Standard SUV,Don't Care,557,Yes,26,,5,746620391-408,Silver,557,PostTrip,Negative Sentiment,0
Contact.083,Account.038,Ms.,Bonnie,Barra,,,,,,3484 Pinklon Circle,San Miguel,CA,93451,US,(261) 555-0100,(261) 555-0199,(261) 555-0188,,(261) 555-0191,(261) 555-0150,bbarra@example.com,EVP Business Development,,,Website,0,,Non-Member,15000,No,,Yes,LAX,Aisle,Rear,Gluten Free Meal,,,King,Smoking,Manual,Standard SUV,Smoking,836,Yes,54,,3,221426965-381,Non-Member,836,PostTrip,Negative Sentiment,0
Contact.084,Account.039,Mr.,Jamie,Preston,,Sedgwick,,,United States,,,,,,(537) 555-0197,(537) 555-0182,,,(261) 555-0191,(261) 555-0150,jpreston@example.com,Account Executive,,,Cold Call,256075,909 311 3218,Silver,15000,Yes,,No,,Window,Rear,Diabetic Meal,,,Twin,Don't Care,Don't Care,Compact Car,Don't Care,449,No,73,,2,254588442-415,Silver,449,OnTrip,Smooth Travels,0
Contact.085,Account.040,Mr.,Bradley,Harmon,,Sedgwick,,,US,899 N Broadview Ave,Wichita,KS,67208,US,(261) 555-0100,(261) 555-0199,(261) 555-0188,,(261) 555-0191,(261) 555-0150,bharmon@example.com,EVP Business Development,,,,65221,444 852 3557,Silver,15000,No,,No,ICT,Aisle,Rear,Kosher Meal,,,Single,Non-Smoking,Automatic,Compact Car,Non-Smoking,516,No,6,,4,659338222-248,Silver,516,PostTrip,Negative Sentiment,0
Contact.086,Account.041,Mr.,Bruce,Watkins,,,,,,69 Oberlin,Stevens Point,WI,54481,US,(631) 555-0100,(631) 555-0199,(631) 555-0188,,(631) 555-0191,(631) 555-0150,bwatkins@example.com,CEO,,,Event,108602,551 177 3174,Bronze,15000,No,,No,MKE,Middle,Exit Row,Regular Meal,,,King,Don't Care,Don't Care,Standard SUV,Don't Care,449,No,85,,0,269650719-482,Bronze,449,PostTrip,Negative Sentiment,0
Contact.087,Account.042,Dr.,Jan,Perkins,,,,,,5680 Hardwoods Cove,Friedensburg,PA,17933,US,(767) 555-0100,(767) 555-0199,(767) 555-0188,,(767) 555-0191,(767) 555-0150,jperkins@example.com,CFO,,,Social Media,65308,395 286 9223,Gold,15000,No,,No,PHL,Aisle,Forward,Gluten Free Meal,,,Double,Smoking,Manual,Intermediate SUV,Smoking,746,Yes,39,,3,313683115-948,Gold,746,PreTrip,Has Future Booking,0
Contact.088,Account.037,Dr.,Sandy,Jones,,Sedgwick,,,US,900 N Broadview Ave,Wichita,KS,67208,US,(261) 555-0100,(261) 555-0199,(261) 555-0188,,(261) 555-0191,(261) 555-0150,sjones@example.com,EVP Business Development,,,,110214,447 114 2203,Gold,15000,Yes,,Yes,ICT,Aisle,Exit Row,Kosher Meal,,,Queen,Non-Smoking,Don't Care,Standard Car,Non-Smoking,740,Yes,76,,0,198316567-719,Gold,740,PreTrip,Has Future Booking,0
Contact.089,Account.011,Mr.,Barry,Bronze,,Sedgwick,,,United States,,,,,,(319) 555-0197,(319) 555-0182,,,(261) 555-0191,(261) 555-0150,bbronze@example.com,Account Executive,,,Cold Call,0,,Non-Member,15000,No,,No,,Aisle,Exit Row,Low Calorie Meal,,,Single,Don't Care,Automatic,Compact Car,Don't Care,495,No,82,,2,895132080-798,Non-Member,495,PreTrip,Has Future Booking,0
Contact.090,Account.017,Mr.,Sean,Silver,,Sedgwick,,,United States,,,,,,(792) 555-0197,(792) 555-0182,,,(261) 555-0191,(261) 555-0150,ssilver@example.com,Account Executive,,,Cold Call,0,,Non-Member,15000,Yes,,No,,Aisle,Forward,Kosher Meal,,,Twin,Non-Smoking,Manual,Intermediate Car,Non-Smoking,278,No,23,,4,875042995-227,Non-Member,278,OnTrip,Smooth Travels,0
Contact.091,Account.017,Mr.,Marc,Benioff,,,,,,1 Market,San Francisco,CA,94105-1596,US,(415) 590-7008,(655) 555-0181,(674) 555-0145,,,(818) 555-0150,mbenioff@example.com,Chief Executive Officer and Chairman,,,Cold Call,140659,211 844 7698,Bronze,15000,Yes,,Yes,SFO,Aisle,Bulkhead,Fruit Platter,,,King,Don't Care,Automatic,Full-size Car,Don't Care,547,No,32,,5,860086920-185,Bronze,547,PostTrip,Negative Sentiment,0
Contact.092,Account.053,Mr.,Antony,Passemard,,Sedgwick,,,United States,,,,,,(415) 878-9865,,,,,(818) 555-0150,apassemard@example.com,Owner,,,,169385,271 639 3940,Silver,15000,Yes,,No,,Aisle,Bulkhead,Gluten Free Meal,,,King,Non-Smoking,Manual,Intermediate SUV,Non-Smoking,573,Yes,31,,5,547514777-383,Silver,573,PreTrip,Has Future Booking,0
Contact.093,Account.054,Mr.,Brad,Anastasio,,Sedgwick,,,United States,,,,,,(415) 886-5549,,,,,(818) 555-0150,banastasio@example.com,"SVP, Sales",,,,118608,638 302 2865,Bronze,15000,Yes,,Yes,,Aisle,Exit Row,Fruit Platter,,,Queen,Non-Smoking,Manual,Compact Car,Non-Smoking,523,No,74,,1,716513626-221,Bronze,523,PostTrip,Negative Sentiment,0
Contact.094,Account.052,Ms.,Emilee,Kendra,,Sedgwick,,,United States,,,,,,(415) 222-8875,,,,,(818) 555-0150,ekendra@example.com,Owner,,,,216777,802 679 7897,Gold,15000,Yes,,Yes,,Aisle,Exit Row,Kosher Meal,,,Twin,Don't Care,Automatic,Full-size Car,Don't Care,773,Yes,79,,1,741352930-260,Gold,773,PostTrip,Negative Sentiment,0
Contact.095,Account.001,Mr.,Chris,Post,,Sedgwick,,,United States,,,,,,(415) 987-4578,,,,,(818) 555-0150,cpost@example.com,Business Analyst,,,,122795,558 876 6602,Gold,15000,No,,Yes,,Window,Forward,Low Calorie Meal,,,Disability,Smoking,Manual,Standard SUV,Smoking,747,Yes,76,,0,824821012-516,Gold,747,OnTrip,Smooth Travels,0
Contact.096,Account.043,Mr.,Wes,Chopra,,Sedgwick,,,US,660 Sutter St,Wichita,KS,67208,US,(847) 402-1753,,(310) 555-0191,,,(818) 555-0149,wes.chopra@greendotmedia.com,"Manager, Information Technology",,,,78535,217 714 1163,Gold,15000,No,,No,ICT,Aisle,Rear,Regular Meal,,,King,Smoking,Don't Care,Standard SUV,Smoking,787,Yes,91,,2,112169583-242,Gold,787,OnTrip,Smooth Travels,0
Contact.097,Account.043,Mr.,Jason,Brennaman,,Sedgwick,,,US,921 N Broadview Ave,San Francisco,CA,,US,(847) 402-1754,,(310) 555-0192,,,(818) 555-0150,jason.brennaman@greendotmedia.com,Information Technology,,,Cold Call,312064,510 618 3629,Silver,15000,No,,No,SFO,Aisle,Exit Row,Low Calorie Meal,,,Single,Non-Smoking,Automatic,Intermediate Car,Non-Smoking,541,No,83,,0,959769448-117,Silver,541,OnTrip,Experiencing Disruption,1
Contact.098,Account.045,Mr.,Doug,Hart,,Sedgwick,,,US,899 N Broadview Ave,Wichita,KS,67208,US,(847) 402-4998,(573) 555-0196,(573) 555-0185,,,(818) 555-0150,dhart@example.com,"EVP, Business Development",,,,0,,Non-Member,15000,No,,Yes,ICT,Window,Forward,Gluten Free Meal,,,Queen,Don't Care,Don't Care,Any Car Class,Don't Care,746,Yes,92,,0,518479744-458,Non-Member,746,PostTrip,Negative Sentiment,0
Contact.099,Account.044,Ms.,Mary,Pickett,,Sedgwick,,,US,904 N Broadview Ave,San Francisco,CA,94105-2720,US,(866) 249-3302,,(674) 555-0149,,,(818) 555-0150,mpickett@example.com,Asset Manager,,,,75817,812 224 8445,Silver,15000,No,,Yes,SFO,Window,Rear,Diabetic Meal,,,Double,Smoking,Manual,Full-size Car,Smoking,450,No,87,,1,332686411-482,Silver,450,PreTrip,Has Future Booking,0
Contact.100,Account.044,Mr.,Craig,Graddick,,Sedgwick,,,US,899 N Broadview Ave,Wichita,KS,67208,US,(847) 402-4999,(573) 555-0197,(573) 555-0186,,,(818) 555-0150,cgraddick@example.com,Developer Asset Management,,,,101304,789 151 3078,Silver,15000,No,,No,ICT,Aisle,Bulkhead,Kosher Meal,,,King,Smoking,Automatic,Intermediate SUV,Smoking,505,No,86,,2,272722969-634,Silver,505,PostTrip,Negative Sentiment,0
